2d5013a0-9073-4c72-a9c0-bb3dae0820c3|Lobby|System|9|5|50|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
ff722003-9485-4a23-a164-7c6a2dfe5686|Lobby|System|9|5|50|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
5a3d4b70-ea63-431a-b3d7-11e174a1de30|sddddddddddd|JoeRogan|9|5|10|PUBLIC|1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1
e2d382e8-2a02-4d5e-bdc7-5845ae287588|sssssssss|JoeRogan|9|5|10|PUBLIC|1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1
325a5b48-9722-4efb-8dc1-40e0265d2cd5|CACAPROUT|JoeRosfan|9|5|10|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
dfd80974-b94c-4a5f-b259-2dc2eecb3483|Lobby|System|9|5|50|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
2c07a9c5-515e-49a3-9a3e-27b0d6e2e04f|Lobby|System|9|5|50|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
f4fa63d7-fa0f-47a5-9d57-56a58d3dd913|ezgerrrrrrrrrrrrr|JoeRogan|9|5|10|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
aacffae9-3692-47bf-ac5c-f56c78a22f8b|Lobby|System|9|5|50|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
5f5ed948-9faa-47da-be90-9a254cf5cc63|caca|JoeRosfan|9|5|10|PUBLIC|1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1
fcaade88-a0fe-4b3f-9f0c-546e669ea92b|LATINOROOM|JoeRogan|9|5|10|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
a14ed2e1-732d-4092-b2c7-93af70e889ae|ELECTROPOPHOUSEROOM|JoeRogan|9|5|10|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
580dc9d8-8f79-42db-a9a8-645c4e8ab258|ROBERTO CARLOS|JoeRogan|9|5|10|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
cc1a09c6-a297-4aa5-9ea0-db3399caf7c6|Lobby|System|9|5|50|PUBLIC|0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0,0
